bidding_profile,contribution,demand
"32, [36, 39]",12.0,10
"12, [40, 45]",2.0,18
"10, [45, 46]",5.0,7
"8, [24, 26]",3.0,18
"4, [40, 43]",3.0,15
"3, [1, 2]",2.0,10
"6, [37, 41]",3.0,13
"5, [44, 45]",5.0,9
"32, [24, 26]",2.0,14
"30, [6, 8]",15.0,20
"4, [28, 32]",1.0,11
"5, [9, 10]",4.0,13
"7, [33, 35]",6.0,19
"14, [11, 15]",4.0,10
"5, [46, 48]",3.0,13
"9, [43, 45]",5.0,10
"1, [1, 1]",2.0,13
"3, [37, 43]",1.0,5
"10, [42, 47]",4.0,7
"11, [23, 27]",3.0,12
"16, [33, 36]",5.0,20
"12, [43, 45]",4.0,20
"8, [19, 23]",2.0,13
"50, [1, 3]",4.0,8
"32, [8, 13]",8.0,13
"12, [1, 1]",4.0,7
"5, [37, 40]",2.0,17
"4, [50, 50]",4.0,16
"13, [36, 41]",5.0,6
"3, [16, 19]",1.0,13
"5, [39, 42]",3.0,12
"7, [1, 5]",2.0,15
"10, [10, 11]",5.0,17
"1, [3, 6]",3.0,17
"6, [17, 18]",3.0,7
"7, [1, 4]",4.0,16
"18, [50, 50]",3.0,17
"4, [46, 48]",3.0,17
"3, [38, 40]",3.0,6
"8, [8, 9]",6.0,14
"26, [12, 18]",4.0,13
"5, [46, 47]",3.0,14
"2, [49, 50]",1.0,15
"3, [7, 8]",4.0,13
"32, [8, 11]",8.0,10
"12, [33, 36]",6.0,7
"18, [42, 48]",4.0,14
"2, [16, 19]",1.0,17
"6, [19, 22]",3.0,19
"8, [20, 25]",2.0,12
"5, [4, 8]",1.0,
"17, [26, 31]",5.0,
"47, [19, 20]",2.0,
"48, [43, 46]",2.0,
"3, [28, 30]",3.0,
"1, [16, 17]",1.0,
"13, [26, 28]",5.0,
"5, [24, 26]",2.0,
"13, [45, 47]",5.0,
"5, [28, 31]",2.0,
"2, [1, 4]",4.0,
"17, [8, 12]",6.0,
"2, [40, 41]",1.0,
"24, [20, 24]",3.0,
"3, [42, 47]",1.0,
"1, [6, 9]",12.0,
"2, [26, 28]",2.0,
"16, [45, 50]",3.0,
"6, [45, 46]",3.0,
"3, [31, 33]",1.0,
"20, [1, 5]",4.0,
"48, [18, 21]",3.0,
"8, [39, 44]",2.0,
"14, [13, 18]",3.0,
"1, [40, 40]",1.0,
"8, [4, 7]",2.0,
"15, [33, 35]",6.0,
"6, [19, 23]",2.0,
"10, [17, 19]",1.0,
"2, [20, 23]",1.0,
"15, [48, 50]",6.0,
"12, [12, 17]",5.0,
"8, [47, 50]",3.0,
"3, [47, 50]",2.0,
"43, [40, 41]",1.0,
"8, [8, 12]",2.0,
"14, [8, 9]",7.0,
"13, [14, 19]",3.0,
"2, [13, 13]",3.0,
"4, [3, 6]",3.0,
"3, [22, 22]",4.0,
"9, [23, 27]",3.0,
"2, [43, 47]",1.0,
"2, [35, 37]",1.0,
"1, [50, 50]",1.0,
"23, [32, 34]",9.0,
"4, [45, 48]",1.0,
"3, [42, 45]",1.0,
"9, [14, 16]",3.0,
"10, [49, 49]",10.0,
"2, [41, 41]",2.0,
"5, [19, 21]",2.0,
"8, [8, 12]",2.0,
"42, [25, 31]",6.0,
"5, [44, 46]",3.0,
"10, [45, 50]",5.0,
"13, [5, 6]",15.0,
"24, [9, 13]",5.0,
"7, [2, 4]",5.0,
"2, [46, 47]",2.0,
"22, [13, 16]",2.0,
"12, [35, 37]",1.0,
"8, [13, 19]",2.0,
"23, [8, 12]",10.0,
"14, [38, 44]",2.0,
"6, [2, 5]",3.0,
"35, [28, 29]",3.0,
"50, [45, 47]",1.0,
"7, [1, 2]",4.0,
"5, [7, 7]",11.0,
"29, [8, 10]",10.0,
"29, [22, 22]",3.0,
"40, [16, 18]",1.0,
"3, [22, 23]",2.0,
"3, [7, 8]",4.0,
"12, [21, 24]",15.0,
"25, [50, 50]",1.0,
"1, [14, 16]",1.0,
"13, [18, 22]",3.0,
"3, [28, 31]",1.0,
"20, [49, 50]",11.0,
"17, [2, 4]",6.0,
"4, [25, 28]",1.0,
"14, [26, 31]",6.0,
"2, [47, 50]",1.0,
"5, [11, 14]",2.0,
"19, [11, 15]",5.0,
"5, [18, 22]",3.0,
"41, [6, 12]",7.0,
"8, [37, 41]",3.0,
"2, [37, 42]",4.0,
"16, [31, 34]",1.0,
"15, [37, 40]",4.0,
"20, [1, 3]",4.0,
"4, [29, 32]",1.0,
"1, [46, 48]",1.0,
"3, [30, 33]",1.0,
"45, [31, 33]",1.0,
"29, [38, 42]",2.0,
"2, [33, 34]",1.0,
"8, [38, 49]",1.0,
