bidding_profile,contribution,demand
"22, [55, 61]",4.0,16
"8, [3, 8]",3.0,12
"2, [11, 13]",1.0,15
"5, [31, 36]",1.0,20
"9, [42, 47]",2.0,20
"2, [53, 56]",1.0,11
"9, [59, 61]",4.0,12
"2, [25, 28]",1.0,20
"2, [63, 65]",1.0,11
"12, [1, 3]",4.0,12
"7, [9, 11]",3.0,16
"15, [41, 42]",8.0,17
"12, [9, 12]",4.0,20
"6, [38, 40]",2.0,10
"20, [58, 62]",3.0,14
"22, [27, 31]",9.0,11
"12, [1, 3]",4.0,14
"23, [39, 44]",2.0,17
"53, [2, 6]",2.0,17
"4, [1, 4]",1.0,6
"30, [22, 26]",8.0,17
"7, [52, 58]",1.0,19
"124, [13, 18]",3.0,6
"2, [44, 49]",1.0,10
"10, [11, 16]",2.0,14
"50, [49, 51]",1.0,10
"120, [62, 65]",6.0,15
"6, [45, 48]",3.0,10
"3, [47, 48]",2.0,7
"6, [50, 53]",2.0,15
"12, [43, 47]",4.0,19
"1, [18, 19]",1.0,8
"2, [52, 57]",1.0,18
"22, [61, 62]",11.0,12
"6, [54, 56]",3.0,5
"2, [46, 48]",2.0,6
"3, [32, 35]",1.0,19
"123, [60, 65]",2.0,8
"21, [21, 25]",5.0,6
"5, [52, 54]",2.0,11
"2, [31, 32]",2.0,17
"16, [44, 49]",4.0,19
"7, [60, 63]",3.0,16
"37, [16, 21]",8.0,5
"22, [5, 9]",7.0,7
"15, [33, 35]",1.0,19
"20, [21, 24]",5.0,11
"4, [29, 32]",1.0,7
"13, [2, 6]",3.0,5
"11, [45, 48]",4.0,7
"2, [42, 43]",2.0,11
"13, [6, 9]",5.0,9
"6, [34, 36]",3.0,7
"6, [25, 29]",2.0,14
"38, [14, 19]",8.0,12
"12, [54, 56]",5.0,8
"3, [7, 11]",1.0,9
"4, [46, 50]",2.0,17
"11, [27, 30]",5.0,7
"15, [1, 4]",6.0,16
"102, [52, 52]",2.0,20
"1, [20, 20]",1.0,17
"2, [45, 46]",1.0,16
"6, [23, 24]",4.0,20
"4, [58, 61]",2.0,5
"9, [8, 12]",3.0,
"41, [51, 53]",2.0,
"10, [1, 6]",4.0,
"3, [1, 4]",1.0,
"6, [57, 61]",2.0,
"3, [25, 25]",3.0,
"1, [39, 40]",1.0,
"3, [50, 51]",4.0,
"20, [20, 21]",1.0,
"107, [4, 7]",2.0,
"7, [6, 8]",5.0,
"2, [3, 4]",3.0,
"117, [24, 28]",1.0,
"19, [6, 8]",7.0,
"61, [22, 25]",7.0,
"12, [50, 53]",4.0,
"82, [24, 28]",1.0,
"2, [4, 6]",1.0,
"2, [63, 63]",2.0,
"7, [21, 24]",3.0,
"1, [9, 11]",1.0,
"15, [2, 5]",6.0,
"53, [1, 4]",2.0,
