dataset,instance,num_workers,num_tasks,delta,max_delta_index,algorithm_solution_set,deletion_solution_set,optimal_solution_set,algorithm_cost,deletion_cost,optimal_cost
20_tasks,instance01.csv,61,20,15,4,"[1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 13, 16, 18, 22, 25, 29, 35, 44, 47, 50, 54, 58]","[1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 13, 16, 18, 22, 29, 44, 47, 50, 54, 58]","[2, 4, 5, 7, 8, 11, 12, 13, 22, 23, 44, 45, 50, 51, 53, 54, 58, 60]",199,185,172.0
20_tasks,instance02.csv,60,20,17,4,"[1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 17, 18, 19, 22, 28, 32, 35, 37, 38, 40, 41, 42, 43, 47, 48, 51, 53, 54, 56, 57, 58]","[1, 3, 4, 7, 8, 9, 10, 11, 13, 17, 18, 28, 32, 37, 38, 40, 41, 42, 43, 47, 48, 51, 53, 56, 57, 58]","[3, 4, 7, 8, 10, 11, 17, 19, 22, 23, 26, 28, 32, 33, 34, 37, 39, 40, 41, 42, 43, 46, 47, 48, 50, 54, 56, 57]",268,226,209.0
20_tasks,instance03.csv,63,20,18,14,"[2, 4, 5, 6, 7, 8, 11, 12, 13, 15, 16, 19, 20, 22, 23, 28, 29, 32, 33, 36, 37, 43, 46, 47, 50, 51, 53]","[2, 4, 5, 6, 7, 8, 11, 15, 16, 19, 20, 22, 23, 28, 29, 33, 36, 37, 47]","[4, 5, 8, 11, 12, 13, 15, 19, 20, 22, 23, 26, 28, 30, 33, 36, 37, 38, 41, 43, 44, 45, 46, 47, 49, 51, 53]",244,210,170.0
20_tasks,instance04.csv,61,20,21,15,"[1, 2, 3, 4, 5, 6, 8, 10, 11, 13, 14, 15, 18, 19, 21, 22, 24, 25, 31, 32, 36, 40, 43, 44, 45, 50, 51, 52, 53, 56, 57, 58, 59, 61]","[1, 2, 3, 4, 5, 6, 8, 10, 11, 13, 14, 15, 18, 19, 22, 24, 25, 31, 32, 36, 40, 43, 44, 51, 52, 53, 57, 58, 59, 61]","[3, 8, 9, 11, 14, 15, 23, 27, 31, 32, 36, 43, 44, 50, 52, 53, 56, 58, 59, 61]",199,187,161.0
20_tasks,instance05.csv,63,20,18,4,"[1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 15, 17, 18, 21, 26, 33, 34, 35, 38, 40, 43, 44, 46, 47, 48, 52, 53, 58, 59, 61]","[1, 2, 3, 4, 5, 8, 10, 11, 12, 13, 15, 17, 18, 21, 26, 33, 34, 38, 40, 43, 46, 48, 52, 58, 59, 61]","[1, 4, 5, 10, 11, 12, 13, 15, 17, 19, 21, 33, 38, 40, 43, 44, 46, 48, 52, 58, 59, 61, 62]",205,172,159.0
20_tasks,instance06.csv,62,20,18,5,"[2, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 17, 19, 25, 26, 27, 30, 31, 37, 39, 42, 44, 47, 48, 50, 53, 54, 55, 57, 59, 60, 61, 62]","[2, 4, 5, 6, 8, 10, 11, 12, 14, 17, 19, 25, 26, 27, 31, 37, 39, 42, 44, 47, 48, 54, 55, 57, 59, 60, 61, 62]","[2, 3, 4, 5, 6, 7, 12, 14, 17, 25, 26, 28, 29, 31, 37, 39, 42, 45, 47, 50, 54, 55, 60, 62]",252,240,186.0
20_tasks,instance07.csv,61,20,19,16,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20, 27, 28, 29, 30, 37, 38, 39, 44, 46, 47, 49, 57, 60]","[2, 3, 4, 7, 8, 10, 11, 17, 18, 20, 27, 29, 37, 38, 39, 46, 49, 57, 60]","[3, 7, 11, 13, 18, 29, 32, 33, 34, 37, 38, 46, 49, 58, 59, 61]",322,239,192.0
20_tasks,instance08.csv,60,20,20,14,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 19, 20, 21, 22, 23, 30, 31, 36, 37, 38, 43, 46, 49, 50, 51, 54, 56, 58, 60]","[2, 3, 4, 5, 6, 9, 12, 14, 15, 19, 20, 22, 23, 30, 31, 36, 37, 38, 43, 46, 49, 50, 51, 54, 56, 58, 60]","[2, 6, 9, 12, 15, 22, 23, 24, 30, 31, 34, 36, 37, 40, 42, 43, 48, 49, 50, 51, 54, 56, 58]",243,222,184.0
20_tasks,instance09.csv,60,20,17,19,"[3, 5, 8, 10, 12, 14, 16, 17, 19, 20, 21, 23, 33, 37, 40, 42, 43, 48, 49, 52, 55, 58, 60]","[3, 5, 10, 12, 14, 16, 17, 19, 20, 21, 23, 33, 37, 40, 43, 48, 49, 52, 55, 58, 60]","[3, 10, 12, 14, 16, 17, 20, 21, 22, 23, 37, 38, 42, 43, 49, 52, 55, 58, 59, 60]",232,227,205.0
20_tasks,instance10.csv,61,20,16,7,"[1, 2, 3, 5, 6, 9, 10, 11, 12, 15, 17, 19, 21, 22, 23, 24, 25, 31, 32, 33, 34, 35, 43, 44, 46, 47, 49, 55, 59]","[1, 2, 3, 5, 6, 9, 10, 11, 12, 15, 17, 19, 23, 25, 32, 33, 34, 35, 43, 44, 46, 47, 49, 55, 59]","[2, 6, 9, 11, 15, 17, 23, 24, 25, 26, 27, 31, 32, 33, 34, 36, 37, 40, 41, 44, 53, 55, 59]",215,197,163.0
